"","FnGroup","PlotGroup","Name","B_WPA","BrelPP_WPA","B_EPA.APS","BrelPP_EPA.APS","B_EPA.APN","BrelPP_EPA.APN","B_AOS","BrelPP_AOS","B_CIA","BrelPP_CIA","B_CIS","BrelPP_CIS","B_CIN","BrelPP_CIN"
"46",3,4,"Cephalopods",0.004780914,0.00301286988070106,0.013940171,0.00548025685458522,2.49,0.00857383691942384,0.007598812,0.00120032112978239,0.15,0.015,0.28,0.00830860534124629,NA,NA
"47",3,4,"Large Cephalopods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,0.0074635177511158
"48",3,4,"Large mesopelagic fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.0445103857566766,NA,NA
"49",3,4,"Large Pelagics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,0.00482258070072098
"50",3,4,"Mesopelagic fish",NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.12,NA,NA,NA,NA
"51",3,4,"Myctophids",NA,NA,NA,NA,3.27,0.0112596171592434,NA,NA,NA,NA,4.4,0.130563798219585,3.375,0.387528806307936
"52",3,4,"Off-shelf pelagic fish",NA,NA,0.12012024,0.0472225031267135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",3,4,"On-shelf pelagic fish",NA,NA,0.43015772,0.169106590843308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",3,4,"Other fish",NA,NA,NA,NA,NA,NA,NA,NA,1.93,0.193,NA,NA,NA,NA
"55",3,4,"Other_fish_(external)",NA,NA,NA,NA,NA,NA,1.540103,0.243277261358914,NA,NA,NA,NA,NA,NA
"56",3,4,"Pelagic_fish",0.034969281,0.0220371865033908,NA,NA,NA,NA,1.800699,0.284441444014936,NA,NA,NA,NA,NA,NA
"57",3,4,"Silverfish",0.06456124,0.0406856545540691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",3,4,"Small Cephalopods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,0.00516705075077247
"59",3,4,"Small mesopelagic fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,0.086053412462908,NA,NA
"60",3,4,"Small Pelagics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.125,0.129176268769312
"61",4,5,"Adelie",0.00122827,0.0007740397941416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",4,5,"AdÃ©lie Penguin",NA,NA,NA,NA,0.0058,1.99711863986579e-05,NA,NA,NA,NA,NA,NA,NA,NA
"63",4,5,"AdŽlie penguin",NA,NA,0.001999944,0.000786231877269409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",4,5,"AdŽlie penguins",NA,NA,NA,NA,NA,NA,NA,NA,0.016,0.0016,NA,NA,NA,NA
